"Kod";"Nazwa";"ogółem;mieszkania;2023;[-]";
2609000;"Powiat sandomierski";26443;
2610000;"Powiat skarżyski";30490;
2611000;"Powiat starachowicki";33428;
2612000;"Powiat staszowski";24603;
2613000;"Powiat włoszczowski";17024;
2801000;"Powiat bartoszycki";20954;
2802000;"Powiat braniewski";14581;
2803000;"Powiat działdowski";22827;
2804000;"Powiat elbląski";18918;
2805000;"Powiat ełcki";35168;
2806000;"Powiat giżycki";22852;
2807000;"Powiat iławski";33356;
2808000;"Powiat kętrzyński";23847;
2809000;"Powiat lidzbarski";15305;
2810000;"Powiat mrągowski";18818;
2811000;"Powiat nidzicki";11089;
2812000;"Powiat nowomiejski";14448;
2813000;"Powiat olecki";12467;
2814000;"Powiat olsztyński";48407;
2815000;"Powiat ostródzki";38332;
2816000;"Powiat piski";19768;
2817000;"Powiat szczycieński";24615;
2818000;"Powiat gołdapski";9459;
2819000;"Powiat węgorzewski";8663;
3001000;"Powiat chodzieski";16078;
3002000;"Powiat czarnkowsko-trzcianecki";29007;
3003000;"Powiat gnieźnieński";55578;
3004000;"Powiat gostyński";23973;
3005000;"Powiat grodziski";16536;
3006000;"Powiat jarociński";24304;
3007000;"Powiat kaliski";24775;
3008000;"Powiat kępiński";19402;
3009000;"Powiat kolski";30459;
3010000;"Powiat koniński";40082;
3011000;"Powiat kościański";27190;
3012000;"Powiat krotoszyński";25234;
3013000;"Powiat leszczyński";19620;
3014000;"Powiat międzychodzki";13387;
3015000;"Powiat nowotomyski";26366;
3016000;"Powiat obornicki";21117;
3017000;"Powiat ostrowski";57625;
3018000;"Powiat ostrzeszowski";18394;
3019000;"Powiat pilski";49383;
3020000;"Powiat pleszewski";20375;
3021000;"Powiat poznański";163811;
3022000;"Powiat rawicki";20908;
3023000;"Powiat słupecki";20110;
3024000;"Powiat szamotulski";33522;
3025000;"Powiat średzki";22249;
3026000;"Powiat śremski";22576;
3027000;"Powiat turecki";27978;
3028000;"Powiat wągrowiecki";25013;
3029000;"Powiat wolsztyński";18174;
3030000;"Powiat wrzesiński";30200;
3031000;"Powiat złotowski";23720;
3201000;"Powiat białogardzki";17567;
3202000;"Powiat choszczeński";17354;
3203000;"Powiat drawski";20835;
3204000;"Powiat goleniowski";30874;
3205000;"Powiat gryficki";22007;
3206000;"Powiat gryfiński";28978;
3207000;"Powiat kamieński";24845;
3208000;"Powiat kołobrzeski";41875;
3209000;"Powiat koszaliński";25641;
3210000;"Powiat myśliborski";23683;
3211000;"Powiat policki";32851;
3212000;"Powiat pyrzycki";13418;
3213000;"Powiat sławieński";20678;
3214000;"Powiat stargardzki";46872;
3215000;"Powiat szczecinecki";30038;
3216000;"Powiat świdwiński";16957;
3217000;"Powiat wałecki";19936;
3218000;"Powiat łobeski";13117;
