"Kod";"Nazwa";"dotacje celowe;ogółem;2023;[zł]";
2005000;"Powiat hajnowski";23392535,36;
2006000;"Powiat kolneński";36182495,17;
2007000;"Powiat łomżyński";32894656,17;
2008000;"Powiat moniecki";20725136,99;
2009000;"Powiat sejneński";39640923,76;
2010000;"Powiat siemiatycki";41847106,20;
2011000;"Powiat sokólski";47934551,59;
2012000;"Powiat suwalski";26203445,71;
2013000;"Powiat wysokomazowiecki";26009838,98;
2014000;"Powiat zambrowski";16754742,42;
2201000;"Powiat bytowski";46336813,30;
2202000;"Powiat chojnicki";39279515,63;
2203000;"Powiat człuchowski";26918917,56;
2204000;"Powiat gdański";22810665,84;
2205000;"Powiat kartuski";56624247,88;
2206000;"Powiat kościerski";39369265,00;
2207000;"Powiat kwidzyński";26138315,13;
2208000;"Powiat lęborski";20029912,12;
2209000;"Powiat malborski";23660078,49;
2210000;"Powiat nowodworski";14518580,43;
2211000;"Powiat pucki";33239972,07;
2212000;"Powiat słupski";59923771,92;
2213000;"Powiat starogardzki";41077376,56;
2214000;"Powiat tczewski";38351626,11;
2215000;"Powiat wejherowski";74569029,92;
2216000;"Powiat sztumski";8291420,86;
2401000;"Powiat będziński";41979516,14;
2402000;"Powiat bielski";41385525,82;
2403000;"Powiat cieszyński";90116505,26;
2404000;"Powiat częstochowski";36848499,40;
2405000;"Powiat gliwicki";34469123,06;
2406000;"Powiat kłobucki";38615921,51;
2407000;"Powiat lubliniecki";28055649,29;
2408000;"Powiat mikołowski";43351683,94;
2409000;"Powiat myszkowski";33471392,88;
2410000;"Powiat pszczyński";46315412,03;
2411000;"Powiat raciborski";41718114,14;
2412000;"Powiat rybnicki";6567488,10;
2413000;"Powiat tarnogórski";50136135,15;
2414000;"Powiat bieruńsko-lędziński";14572834,79;
2415000;"Powiat wodzisławski";49421520,78;
2416000;"Powiat zawierciański";30094754,46;
2417000;"Powiat żywiecki";54547003,64;
2601000;"Powiat buski";24100129,19;
2602000;"Powiat jędrzejowski";27015010,31;
2603000;"Powiat kazimierski";26935060,99;
2604000;"Powiat kielecki";35786289,45;
2605000;"Powiat konecki";52726920,64;
2606000;"Powiat opatowski";45183661,97;
2607000;"Powiat ostrowiecki";37134746,04;
2608000;"Powiat pińczowski";14119887,32;
2609000;"Powiat sandomierski";44456136,98;
2610000;"Powiat skarżyski";26098001,03;
2611000;"Powiat starachowicki";27711983,81;
2612000;"Powiat staszowski";30868066,51;
2613000;"Powiat włoszczowski";35993192,31;
2801000;"Powiat bartoszycki";18773257,65;
2802000;"Powiat braniewski";33781132,52;
2803000;"Powiat działdowski";27214528,46;
2804000;"Powiat elbląski";10248797,63;
2805000;"Powiat ełcki";36422451,35;
2806000;"Powiat giżycki";45678902,94;
2807000;"Powiat iławski";31374461,91;
2808000;"Powiat kętrzyński";27322799,22;
2809000;"Powiat lidzbarski";9839551,74;
2810000;"Powiat mrągowski";19475744,01;
2811000;"Powiat nidzicki";29387633,17;
2812000;"Powiat nowomiejski";17648105,37;
2813000;"Powiat olecki";20645526,71;
2814000;"Powiat olsztyński";24297955,90;
2815000;"Powiat ostródzki";33667463,72;
2816000;"Powiat piski";35105154,75;
2817000;"Powiat szczycieński";19196533,39;
2818000;"Powiat gołdapski";26487966,73;
2819000;"Powiat węgorzewski";34206833,19;
3001000;"Powiat chodzieski";19604496,54;
3002000;"Powiat czarnkowsko-trzcianecki";34884774,79;
3003000;"Powiat gnieźnieński";32524669,83;
3004000;"Powiat gostyński";27476851,49;
3005000;"Powiat grodziski";21070934,88;
3006000;"Powiat jarociński";46657280,41;
3007000;"Powiat kaliski";27231870,92;
3008000;"Powiat kępiński";43445792,91;
3009000;"Powiat kolski";28371640,01;
3010000;"Powiat koniński";21871967,62;
3011000;"Powiat kościański";31888782,07;
3012000;"Powiat krotoszyński";26800841,35;
3013000;"Powiat leszczyński";21883938,36;
3014000;"Powiat międzychodzki";28114209,66;
3015000;"Powiat nowotomyski";20803401,40;
3016000;"Powiat obornicki";35724808,76;
3017000;"Powiat ostrowski";52924547,88;
3018000;"Powiat ostrzeszowski";52633721,17;
3019000;"Powiat pilski";56017117,76;
3020000;"Powiat pleszewski";36001575,35;
3021000;"Powiat poznański";64005213,43;
3022000;"Powiat rawicki";37542540,66;
3023000;"Powiat słupecki";40214771,49;
3024000;"Powiat szamotulski";29039653,46;
3025000;"Powiat średzki";30567287,08;
3026000;"Powiat śremski";20845367,09;
3027000;"Powiat turecki";34076749,68;
3028000;"Powiat wągrowiecki";17647134,93;
3029000;"Powiat wolsztyński";28616347,54;
3030000;"Powiat wrzesiński";20736546,45;
3031000;"Powiat złotowski";34637332,93;
3201000;"Powiat białogardzki";24966235,25;
3202000;"Powiat choszczeński";12841025,97;
3203000;"Powiat drawski";17671552,82;
3204000;"Powiat goleniowski";24647251,31;
3205000;"Powiat gryficki";20074856,53;
3206000;"Powiat gryfiński";25929427,64;
3207000;"Powiat kamieński";17098140,49;
3208000;"Powiat kołobrzeski";42255316,39;
3209000;"Powiat koszaliński";50990617,02;
3210000;"Powiat myśliborski";32400688,04;
3211000;"Powiat policki";23344001,78;
3212000;"Powiat pyrzycki";27176383,67;
3213000;"Powiat sławieński";19043023,85;
3214000;"Powiat stargardzki";22635742,27;
3215000;"Powiat szczecinecki";44460775,53;
3216000;"Powiat świdwiński";18253073,37;
3217000;"Powiat wałecki";14938476,77;
3218000;"Powiat łobeski";27029637,15;
