"Kod";"Nazwa";"ogółem;2023;[ha]";
2414000;"Powiat bieruńsko-lędziński";352,06;
2415000;"Powiat wodzisławski";908,50;
2416000;"Powiat zawierciański";15074,05;
2417000;"Powiat żywiecki";19218,12;
2601000;"Powiat buski";6139,79;
2602000;"Powiat jędrzejowski";9324,41;
2603000;"Powiat kazimierski";723,62;
2604000;"Powiat kielecki";17720,83;
2605000;"Powiat konecki";17100,51;
2606000;"Powiat opatowski";8020,02;
2607000;"Powiat ostrowiecki";4838,59;
2608000;"Powiat pińczowski";2590,76;
2609000;"Powiat sandomierski";2484,32;
2610000;"Powiat skarżyski";2909,95;
2611000;"Powiat starachowicki";1087,85;
2612000;"Powiat staszowski";7206,54;
2613000;"Powiat włoszczowski";15510,65;
2801000;"Powiat bartoszycki";4166,96;
2802000;"Powiat braniewski";3363,41;
2803000;"Powiat działdowski";3810,94;
2804000;"Powiat elbląski";2901,58;
2805000;"Powiat ełcki";3460,21;
2806000;"Powiat giżycki";2237,85;
2807000;"Powiat iławski";2846,63;
2808000;"Powiat kętrzyński";1827,80;
2809000;"Powiat lidzbarski";2141,57;
2810000;"Powiat mrągowski";2387,58;
2811000;"Powiat nidzicki";3756,51;
2812000;"Powiat nowomiejski";3155,88;
2813000;"Powiat olecki";2952,12;
2814000;"Powiat olsztyński";7393,36;
2815000;"Powiat ostródzki";5480,27;
2816000;"Powiat piski";2372,80;
2817000;"Powiat szczycieński";5401,32;
2818000;"Powiat gołdapski";3745,52;
2819000;"Powiat węgorzewski";1396,18;
3001000;"Powiat chodzieski";1205,21;
3002000;"Powiat czarnkowsko-trzcianecki";6403,02;
3003000;"Powiat gnieźnieński";1824,66;
3004000;"Powiat gostyński";846,65;
3005000;"Powiat grodziski";1162,60;
3006000;"Powiat jarociński";988,50;
3007000;"Powiat kaliski";6023,51;
3008000;"Powiat kępiński";1361,27;
3009000;"Powiat kolski";3226,52;
3010000;"Powiat koniński";6553,93;
3011000;"Powiat kościański";1308,44;
3012000;"Powiat krotoszyński";806,41;
3013000;"Powiat leszczyński";2350,96;
3014000;"Powiat międzychodzki";2453,50;
3015000;"Powiat nowotomyski";3362,34;
3016000;"Powiat obornicki";1496,58;
3017000;"Powiat ostrowski";2375,67;
3018000;"Powiat ostrzeszowski";8666,93;
3019000;"Powiat pilski";2445,79;
3020000;"Powiat pleszewski";2276,52;
3021000;"Powiat poznański";2610,13;
3022000;"Powiat rawicki";1044,50;
3023000;"Powiat słupecki";2591,67;
3024000;"Powiat szamotulski";1671,35;
3025000;"Powiat średzki";1342,88;
3026000;"Powiat śremski";1395,44;
3027000;"Powiat turecki";8243,91;
3028000;"Powiat wągrowiecki";2277,85;
3029000;"Powiat wolsztyński";2638,09;
3030000;"Powiat wrzesiński";1338,34;
3031000;"Powiat złotowski";3361,75;
3201000;"Powiat białogardzki";1582,72;
3202000;"Powiat choszczeński";862,05;
3203000;"Powiat drawski";2499,11;
3204000;"Powiat goleniowski";1030,85;
3205000;"Powiat gryficki";919,47;
3206000;"Powiat gryfiński";966,95;
3207000;"Powiat kamieński";823,37;
3208000;"Powiat kołobrzeski";996,40;
3209000;"Powiat koszaliński";2315,79;
3210000;"Powiat myśliborski";844,90;
3211000;"Powiat policki";269,20;
3212000;"Powiat pyrzycki";458,52;
3213000;"Powiat sławieński";1076,05;
3214000;"Powiat stargardzki";2456,17;
3215000;"Powiat szczecinecki";2841,45;
3216000;"Powiat świdwiński";1969,96;
3217000;"Powiat wałecki";1209,87;
3218000;"Powiat łobeski";1104,66;
