"Kod";"Nazwa";"ogółem;2023;[zł]";
2011000;"Powiat sokólski";163061328,35;
2012000;"Powiat suwalski";71847135,00;
2013000;"Powiat wysokomazowiecki";127939276,46;
2014000;"Powiat zambrowski";82972240,93;
2201000;"Powiat bytowski";159656904,41;
2202000;"Powiat chojnicki";200853100,50;
2203000;"Powiat człuchowski";156844414,58;
2204000;"Powiat gdański";157835249,38;
2205000;"Powiat kartuski";241988627,78;
2206000;"Powiat kościerski";154330351,43;
2207000;"Powiat kwidzyński";148328240,96;
2208000;"Powiat lęborski";138946879,79;
2209000;"Powiat malborski";127699803,85;
2210000;"Powiat nowodworski";71968724,89;
2211000;"Powiat pucki";141012429,91;
2212000;"Powiat słupski";201499990,18;
2213000;"Powiat starogardzki";241163037,73;
2214000;"Powiat tczewski";223698227,33;
2215000;"Powiat wejherowski";343301995,20;
2216000;"Powiat sztumski";61654818,63;
2401000;"Powiat będziński";179918266,77;
2402000;"Powiat bielski";203536280,34;
2403000;"Powiat cieszyński";326852035,25;
2404000;"Powiat częstochowski";170625208,18;
2405000;"Powiat gliwicki";142393643,59;
2406000;"Powiat kłobucki";116369380,30;
2407000;"Powiat lubliniecki";140006679,78;
2408000;"Powiat mikołowski";160842478,50;
2409000;"Powiat myszkowski";122045451,49;
2410000;"Powiat pszczyński";166369935,96;
2411000;"Powiat raciborski";208628524,90;
2412000;"Powiat rybnicki";74050036,78;
2413000;"Powiat tarnogórski";257947550,51;
2414000;"Powiat bieruńsko-lędziński";69833524,85;
2415000;"Powiat wodzisławski";244068327,74;
2416000;"Powiat zawierciański";160609001,54;
2417000;"Powiat żywiecki";271477172,76;
2601000;"Powiat buski";133564251,77;
2602000;"Powiat jędrzejowski";124350842,94;
2603000;"Powiat kazimierski";90784734,66;
2604000;"Powiat kielecki";225199322,68;
2605000;"Powiat konecki";171457419,51;
2606000;"Powiat opatowski";161012450,70;
2607000;"Powiat ostrowiecki";212362807,52;
2608000;"Powiat pińczowski";70791024,83;
2609000;"Powiat sandomierski";141612743,45;
2610000;"Powiat skarżyski";160576713,31;
2611000;"Powiat starachowicki";142701556,72;
2612000;"Powiat staszowski";131300534,53;
2613000;"Powiat włoszczowski";113048779,29;
2801000;"Powiat bartoszycki";125174894,23;
2802000;"Powiat braniewski";96627166,19;
2803000;"Powiat działdowski";132148967,94;
2804000;"Powiat elbląski";93445937,85;
2805000;"Powiat ełcki";184388703,80;
2806000;"Powiat giżycki";146326339,05;
2807000;"Powiat iławski";174379493,89;
2808000;"Powiat kętrzyński";130072675,59;
2809000;"Powiat lidzbarski";69978902,56;
2810000;"Powiat mrągowski";83584217,91;
2811000;"Powiat nidzicki";80414788,22;
2812000;"Powiat nowomiejski";68906291,82;
2813000;"Powiat olecki";83830115,86;
2814000;"Powiat olsztyński";194381890,58;
2815000;"Powiat ostródzki";203742178,73;
2816000;"Powiat piski";136197279,66;
2817000;"Powiat szczycieński";119386745,28;
2818000;"Powiat gołdapski";62851094,77;
2819000;"Powiat węgorzewski";79941929,04;
3001000;"Powiat chodzieski";86829997,95;
3002000;"Powiat czarnkowsko-trzcianecki";159486125,87;
3003000;"Powiat gnieźnieński";225209661,13;
3004000;"Powiat gostyński";129541802,55;
3005000;"Powiat grodziski";101524604,84;
3006000;"Powiat jarociński";156237425,84;
3007000;"Powiat kaliski";123364980,32;
3008000;"Powiat kępiński";122963066,35;
3009000;"Powiat kolski";128718597,12;
3010000;"Powiat koniński";149441936,70;
3011000;"Powiat kościański";127997757,45;
3012000;"Powiat krotoszyński";148030660,72;
3013000;"Powiat leszczyński";87764676,24;
